ZIP,confirmed_cases,population,Income_level,driving,transit,walking,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Echo Park,53.51908396946565,40455.0,1.0,78.01015267175569,34.64305343511451,81.36832061068704,-41.11450381679389,-14.297709923664122,-21.061068702290076,-44.25190839694657,-40.404580152671755,17.114503816793892
El Monte,951.8333333333334,116249.0,1.0,80.99858333333331,35.31366666666668,84.53466666666668,-40.725,-13.833333333333334,-19.691666666666666,-43.7,-40.041666666666664,16.75
El Segundo,39.253846153846155,15970.0,2.0,78.17338461538459,34.65446153846155,81.58638461538463,-41.12307692307692,-14.36923076923077,-21.0,-44.253846153846155,-40.4,17.076923076923077
El Sereno,278.24590163934425,40954.0,2.0,80.32573770491803,35.14081967213115,83.86270491803279,-40.81967213114754,-14.01639344262295,-20.040983606557376,-43.85245901639344,-40.13934426229508,16.795081967213115
Encino,145.02238805970148,41905.0,2.0,77.68634328358206,34.802014925373136,80.86000000000003,-40.82089552238806,-13.873134328358208,-21.059701492537314,-44.02238805970149,-40.223880597014926,17.08955223880597
Exposition Park,322.18897637795277,31062.0,1.0,78.99866141732281,34.82866141732284,82.42118110236221,-40.976377952755904,-14.251968503937007,-20.74015748031496,-44.125984251968504,-40.41732283464567,17.03937007874016
Gardena,307.03731343283584,57818.0,2.0,77.68634328358206,34.802014925373136,80.86000000000003,-40.82089552238806,-13.873134328358208,-21.059701492537314,-44.02238805970149,-40.223880597014926,17.08955223880597
Glassell Park,204.6048387096774,23467.0,2.0,79.79193548387096,34.987903225806456,83.29419354838711,-40.92741935483871,-14.112903225806452,-20.411290322580644,-43.975806451612904,-40.20161290322581,16.887096774193548
Glendale,941.5820895522388,195047.0,2.0,77.68634328358206,34.802014925373136,80.86000000000003,-40.82089552238806,-13.873134328358208,-21.059701492537314,-44.02238805970149,-40.223880597014926,17.08955223880597
Glendora,239.4418604651163,50177.0,2.0,78.41085271317829,34.70992248062016,81.8125581395349,-41.06976744186046,-14.37984496124031,-20.94573643410853,-44.24031007751938,-40.44961240310077,17.069767441860463
