ZIP,confirmed_cases,population,Income_level,driving,transit,walking,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Compton,1443.7272727272727,94384.0,1.0,86.01375757575758,37.666424242424256,90.5010303030303,-38.52121212121212,-13.67878787878788,-16.939393939393938,-43.38787878787879,-39.842424242424244,16.048484848484847
Covina,466.396449704142,50954.0,2.0,85.15905325443786,37.49059171597635,89.53218934911243,-38.62721893491124,-13.597633136094675,-17.266272189349113,-43.44378698224852,-39.77514792899408,16.106508875739646
Crestview,100.58579881656804,5284.0,2.0,85.15905325443786,37.49059171597635,89.53218934911243,-38.62721893491124,-13.597633136094675,-17.266272189349113,-43.44378698224852,-39.77514792899408,16.106508875739646
Culver City,182.82558139534885,38816.0,2.0,84.86819767441861,37.643546511627925,89.05098837209303,-38.366279069767444,-13.226744186046512,-17.38953488372093,-43.22093023255814,-39.56976744186046,16.063953488372093
Del Rey,139.32335329341316,28010.0,2.0,85.48497005988024,37.5210778443114,89.96838323353293,-38.65868263473054,-13.748502994011975,-17.119760479041915,-43.467065868263475,-39.796407185628745,16.059880239520957
Diamond Bar,183.01162790697674,56784.0,2.0,84.86819767441861,37.643546511627925,89.05098837209303,-38.366279069767444,-13.226744186046512,-17.38953488372093,-43.22093023255814,-39.56976744186046,16.063953488372093
Downey,1543.5487804878048,107323.0,2.0,86.25780487804877,37.708414634146365,90.76817073170731,-38.5,-13.646341463414634,-16.847560975609756,-43.353658536585364,-39.798780487804876,16.01219512195122
Downtown,285.61309523809524,27849.0,1.0,85.31416666666667,37.49511904761907,89.74845238095239,-38.666666666666664,-13.696428571428571,-17.19047619047619,-43.470238095238095,-39.80357142857143,16.095238095238095
Duarte,201.77575757575758,21486.0,2.0,86.01375757575758,37.666424242424256,90.5010303030303,-38.52121212121212,-13.67878787878788,-16.939393939393938,-43.38787878787879,-39.842424242424244,16.048484848484847
Eagle Rock,269.5964912280702,32493.0,2.0,84.93228070175438,37.569649122807036,89.20309941520469,-38.47953216374269,-13.374269005847953,-17.257309941520468,-43.30409356725146,-39.67251461988304,16.093567251461987
East Hollywood,288.40361445783134,73967.0,1.0,85.71355421686748,37.58144578313255,90.19463855421687,-38.602409638554214,-13.75301204819277,-17.05421686746988,-43.45180722891566,-39.83132530120482,16.048192771084338
East Los Angeles,2279.976331360947,125897.0,1.0,85.15905325443786,37.49059171597635,89.53218934911243,-38.62721893491124,-13.597633136094675,-17.266272189349113,-43.44378698224852,-39.77514792899408,16.106508875739646
