ZIP,confirmed_cases,population,Income_level,driving,transit,walking,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Montebello,588.7,61960.0,2.0,80.77130769230769,35.453615384615404,84.26684615384616,-40.5,-14.023076923076923,-19.776923076923076,-43.83076923076923,-40.33076923076923,16.838461538461537
Monterey Park,216.41304347826087,59933.0,2.0,78.99615942028984,35.2213043478261,82.25956521739133,-40.528985507246375,-13.91304347826087,-20.333333333333332,-43.93478260869565,-40.35507246376812,17.007246376811594
Mt. Washington,132.98473282442748,12728.0,2.0,80.50587786259541,35.40007633587788,83.977786259542,-40.51908396946565,-14.068702290076336,-19.885496183206108,-43.87786259541985,-40.396946564885496,16.885496183206108
North Hills,519.7441860465116,53095.0,2.0,81.03790697674418,35.51844961240312,84.5625581395349,-40.48062015503876,-13.976744186046512,-19.65891472868217,-43.775193798449614,-40.25581395348837,16.782945736434108
North Hollywood,851.8695652173913,77848.0,1.0,78.99615942028984,35.2213043478261,82.25956521739133,-40.528985507246375,-13.91304347826087,-20.333333333333332,-43.93478260869565,-40.35507246376812,17.007246376811594
Northridge,378.46762589928056,57561.0,2.0,78.91841726618702,35.30107913669065,82.12467625899284,-40.410071942446045,-13.755395683453237,-20.33812949640288,-43.83453237410072,-40.273381294964025,16.985611510791365
Norwalk,787.1221374045801,103223.0,2.0,80.50587786259541,35.40007633587788,83.977786259542,-40.51908396946565,-14.068702290076336,-19.885496183206108,-43.87786259541985,-40.396946564885496,16.885496183206108
Pacoima,895.8217054263566,75014.0,2.0,81.03790697674418,35.51844961240312,84.5625581395349,-40.48062015503876,-13.976744186046512,-19.65891472868217,-43.775193798449614,-40.25581395348837,16.782945736434108
Palmdale,930.1515151515151,117432.0,2.0,80.24636363636361,35.35318181818183,83.69378787878789,-40.53787878787879,-14.113636363636363,-19.992424242424242,-43.92424242424242,-40.46212121212121,16.931818181818183
Palms,199.34558823529412,42545.0,2.0,79.25749999999998,35.158970588235306,82.64220588235295,-40.68382352941177,-14.161764705882353,-20.323529411764707,-44.0514705882353,-40.4485294117647,17.00735294117647
Panorama City,829.4615384615385,65766.0,1.0,80.77130769230769,35.453615384615404,84.26684615384616,-40.5,-14.023076923076923,-19.776923076923076,-43.83076923076923,-40.33076923076923,16.838461538461537
Paramount,568.0075187969925,55319.0,2.0,79.98879699248118,35.318796992481204,83.41556390977445,-40.54887218045113,-14.150375939849624,-20.082706766917294,-43.962406015037594,-40.51127819548872,16.969924812030076
Park La Brea,28.183823529411764,150898.0,2.0,79.25749999999998,35.158970588235306,82.64220588235295,-40.68382352941177,-14.161764705882353,-20.323529411764707,-44.0514705882353,-40.4485294117647,17.00735294117647
Pasadena,855.0647482014389,134941.0,2.0,78.91841726618702,35.30107913669065,82.12467625899284,-40.410071942446045,-13.755395683453237,-20.33812949640288,-43.83453237410072,-40.273381294964025,16.985611510791365
Pico Rivera,656.6259541984733,63151.0,2.0,80.50587786259541,35.40007633587788,83.977786259542,-40.51908396946565,-14.068702290076336,-19.885496183206108,-43.87786259541985,-40.396946564885496,16.885496183206108
Playa Vista,36.904411764705884,2416.0,2.0,79.25749999999998,35.158970588235306,82.64220588235295,-40.68382352941177,-14.161764705882353,-20.323529411764707,-44.0514705882353,-40.4485294117647,17.00735294117647
Pomona,1059.5692307692307,150269.0,2.0,80.77130769230769,35.453615384615404,84.26684615384616,-40.5,-14.023076923076923,-19.776923076923076,-43.83076923076923,-40.33076923076923,16.838461538461537
Porter Ranch,103.99236641221374,24923.0,2.0,80.50587786259541,35.40007633587788,83.977786259542,-40.51908396946565,-14.068702290076336,-19.885496183206108,-43.87786259541985,-40.396946564885496,16.885496183206108
Rancho Palos Verdes,104.13533834586467,41301.0,2.0,79.98879699248118,35.318796992481204,83.41556390977445,-40.54887218045113,-14.150375939849624,-20.082706766917294,-43.962406015037594,-40.51127819548872,16.969924812030076
Redondo Beach,172.32592592592593,63261.0,2.0,79.42392592592591,35.173777777777794,82.86162962962965,-40.68888888888889,-14.22962962962963,-20.25925925925926,-44.05185185185185,-40.44444444444444,16.97037037037037
Reseda,625.8308823529412,62174.0,2.0,79.25749999999998,35.158970588235306,82.64220588235295,-40.68382352941177,-14.161764705882353,-20.323529411764707,-44.0514705882353,-40.4485294117647,17.00735294117647
Rosemead,188.95275590551182,53280.0,2.0,81.57031496062993,35.673700787401586,85.12866141732283,-40.37007874015748,-13.881889763779528,-19.291338582677167,-43.653543307086615,-40.196850393700785,16.69291338582677
Rowland Heights,183.3203125,47524.0,2.0,81.27046874999999,35.577265625,84.83250000000001,-40.4453125,-13.9375,-19.546875,-43.71875,-40.1875,16.71875
San Dimas,107.60431654676259,35064.0,2.0,78.91841726618702,35.30107913669065,82.12467625899284,-40.410071942446045,-13.755395683453237,-20.33812949640288,-43.83453237410072,-40.273381294964025,16.985611510791365
San Fernando,225.09022556390977,23534.0,2.0,79.90804511278195,35.31684210526317,83.3766165413534,-40.58646616541353,-14.142857142857142,-19.917293233082706,-43.93984962406015,-40.390977443609025,16.887218045112782
San Gabriel,159.6259541984733,39306.0,2.0,80.50587786259541,35.40007633587788,83.977786259542,-40.51908396946565,-14.068702290076336,-19.885496183206108,-43.87786259541985,-40.396946564885496,16.885496183206108
San Pedro,759.3381294964029,80065.0,2.0,78.91841726618702,35.30107913669065,82.12467625899284,-40.410071942446045,-13.755395683453237,-20.33812949640288,-43.83453237410072,-40.273381294964025,16.985611510791365
Santa Clarita,828.427536231884,157447.0,2.0,78.99615942028984,35.2213043478261,82.25956521739133,-40.528985507246375,-13.91304347826087,-20.333333333333332,-43.93478260869565,-40.35507246376812,17.007246376811594
Santa Monica,286.8201438848921,84084.0,2.0,78.91841726618702,35.30107913669065,82.12467625899284,-40.410071942446045,-13.755395683453237,-20.33812949640288,-43.83453237410072,-40.273381294964025,16.985611510791365
